symbol,alpha_name,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
SPY,A17_mean_reversion_ensemble,mean_reversion,True,0.056168856366838854,0.8333333333333334,0.4567597655589747,0.3518165177597248,0.09884980706814238,-0.12587300572286592,2497,251,True,True,True,True,True,True,True
SPY,A07_volatility_compression,regime,False,-0.04572094741677442,0.0,0.5930189517059811,0.3866707801282534,0.026881866671612284,0.22741685328886596,2411,251,False,False,False,True,True,True,True
SPY,A07_atr_percentile,regime,True,0.023326780499089383,0.8333333333333334,0.35487131704924174,0.22680547284089958,0.01167430766724955,0.20649995438287036,2249,251,True,True,True,True,True,True,True
SPY,A15_volatility_adjusted_breakout_20,trend,False,-0.07408115837543941,0.16666666666666666,1.0,inf,0.4647766246536424,-0.09834690956684139,2312,251,False,False,False,False,True,True,True
SPY,A10_volume_surprise_48,trend,False,-0.015611620151334998,0.16666666666666666,inf,inf,0.26524667980368194,-0.45109540964932343,2464,251,False,False,False,False,True,True,True
SPY,A11_signed_volume_pressure_6,trend,False,-0.0921177361367123,0.16666666666666666,1.0,0.9194085269192578,0.1154930150195996,-0.16341903420947143,2506,251,False,False,False,False,True,True,True
SPY,A12_close_location_value_10,trend,False,-0.04638260674901557,0.16666666666666666,0.9573129821906173,0.4158534307391634,0.07929628171500103,-0.036494168054593275,2502,251,False,False,False,True,True,True,True
SPY,A13_intraday_range_position_10,trend,False,-0.04638260674901555,0.16666666666666666,0.9573129821906173,0.4158534307391634,0.07929628171500103,-0.03649416805459318,2502,251,False,False,False,True,True,True,True
SPY,A14_gap_proxy,trend,False,0.03465356513964562,0.6666666666666666,0.6249282773691699,0.9415815188867245,0.2296648558510251,-0.5104070517884847,2510,251,True,True,False,False,True,True,True
SPY,A26_chan_pivot_position,trend,False,-0.03808930367986634,0.3333333333333333,0.45180948789258296,0.18474555190411054,0.0398295919798352,0.23907712364290912,2494,251,False,False,True,True,True,True,True
SPY,A20_market_breadth_24,regime,False,-0.03311188200807469,0.0,0.31058662542984,0.22539518427922803,0.052787257399932695,0.13344383597183673,2487,251,False,False,True,True,True,True,True
SPY,A23_cross_sectional_relative_strength_24,relative_value,False,-0.015985674329570185,0.3333333333333333,0.6177437383408285,0.391555075634864,0.07024863882043829,-0.016022818229134254,2463,251,False,False,False,True,True,True,True
QQQ,A01_ts_momentum_12,trend,False,-0.030808386041950582,0.0,0.6290805108383195,0.331285254936336,0.051977310399189805,0.22003337440667847,2463,251,False,False,False,True,True,True,True
QQQ,A01_ts_momentum_24,trend,False,-0.01706507347606707,0.16666666666666666,0.34364799745173286,0.19411237340836723,0.029561994413566637,0.6308024724688388,2463,251,False,False,True,True,True,True,True
QQQ,A01_ts_momentum_48,trend,False,-0.03900922681741519,0.0,0.3202119927363074,0.22560360859477357,0.016794731726672292,0.6836766327588886,2463,251,False,False,True,True,True,True,True
QQQ,A01_ts_momentum_72,trend,False,-0.03757518944151537,0.16666666666666666,0.3181237182091771,0.23392873409585688,0.011061747463025478,0.9612650159424205,2439,251,False,False,True,True,True,True,True
QQQ,A01_ts_momentum_120,trend,False,-0.05495779629360366,0.16666666666666666,0.3568000346485641,0.20344745977082207,0.00428068660275756,1.3328748593635964,2391,251,False,False,True,True,True,True,True
QQQ,A16_momentum_ensemble,trend,False,-0.0359242677595851,0.16666666666666666,0.37220345780842495,0.23225939605557472,0.023158712664908578,0.5553785915363006,2463,251,False,False,True,True,True,True,True
